,0
0,50002
1,50003
2,50004
3,50005
4,50006
5,50007
6,50008
7,50009
8,50010
9,50011
10,50012
11,50013
12,50014
13,50015
14,50016
15,50017
16,50019
17,50020
18,50022
19,50023
20,50024
21,50025
22,50026
23,50027
24,50028
25,50029
26,50030
27,50031
28,50032
29,50033
30,50034
31,50035
32,50036
33,50037
34,50038
35,50040
36,50041
37,50042
38,50043
39,50044
40,50045
41,50046
42,50047
43,50048
44,50049
45,50050
46,50051
47,50052
48,50053
49,50055
50,50056
51,50057
52,50058
53,50059
54,50060
55,50102
56,50103
57,50104
58,50105
59,50106
60,50107
61,50108
62,50109
63,50110
64,50111
65,50112
66,50113
67,50114
68,50115
69,50116
70,50117
71,50118
72,50119
73,50120
74,50121
75,50122
76,50123
77,50124
78,50125
79,50126
80,50127
81,50128
82,50129
83,50130
84,50131
85,50132
86,50134
87,50135
88,50137
89,50142
90,50143
91,50144
92,50145
93,50146
94,50147
95,50148
96,50149
97,50150
98,50152
99,50153
100,50155
101,50156
102,50157
103,50158
104,50159
105,50160
106,50161
107,50162
108,50163
109,50164
110,50165
111,50166
112,50167
113,50168
114,50169
115,50170
116,50171
117,50182
118,50183
119,50184
120,50186
121,50187
122,50188
123,50189
124,50190
125,50191
126,50192
127,50193
128,50194
129,50195
130,50196
131,50198
132,50199
133,50200
134,50201
135,50202
136,50203
137,50204
138,50205
139,50206
140,50208
141,50209
142,50210
143,50212
144,50213
145,50214
146,50215
147,50216
148,50217
149,50232
150,50233
151,50234
152,50235
153,50236
154,50237
155,50238
156,50239
157,50240
158,50241
159,50242
160,50243
161,50244
162,50245
163,50246
164,50247
165,50248
166,50249
167,50250
168,50251
169,50252
170,50253
171,50254
172,50255
173,50257
174,50259
175,50260
176,50261
177,50262
178,50263
179,50264
180,50265
181,50266
182,50267
183,50268
184,50269
185,50270
186,50271
187,50272
188,50273
189,50274
190,50276
191,50277
192,50278
193,50280
194,50282
195,50284
196,50285
197,50287
198,50289
199,50290
200,50291
201,50292
202,50293
203,50294
204,50295
205,50297
206,50298
207,50300
208,50301
209,50302
210,50306
211,50307
212,50312
213,50314
214,50315
215,50318
216,50319
217,50320
218,50321
219,50324
220,50325
221,50327
222,50328
223,50329
224,50330
225,50331
226,50333
227,50334
228,50335
229,50336
230,50337
231,50338
232,50339
233,50340
234,50341
235,50342
236,50343
237,50344
238,50345
239,50346
240,50347
241,50348
242,50349
243,50350
244,50351
245,50352
246,50353
247,50355
248,50356
249,50357
250,50360
251,50361
252,50362
253,50363
254,50364
255,50365
256,50366
257,50367
258,50368
259,50369
260,50370
261,50372
262,50374
263,50375
264,50377
265,50378
266,50379
267,50380
268,50381
269,50382
270,50385
271,50386
272,50387
273,50388
274,50390
275,50391
276,50397
277,50399
278,50403
279,50405
280,50406
281,50408
282,50410
283,50411
284,50412
285,50413
286,50414
