,rlbl,nan_count,I
0,Left_OFC,109,272
1,Right_TGv,74,171
2,Right_OFC,69,92
3,Left_TGv,60,351
4,Right_s32,34,164
5,Left_s32,32,344
6,Left_pOFC,24,345
7,Right_25,22,163
8,Left_25,21,343
9,Right_LO2,9,20
10,Right_TE1m,7,176
11,Right_pOFC,5,165
12,Left_10pp,3,269
13,Right_PIT,3,21
14,Right_13l,3,91
15,Left_LO2,2,200
16,Left_PIT,2,201
17,Left_7AL,2,221
18,Right_PeEc,2,121
19,Right_TE2a,2,133
20,Left_TE2a,2,313
21,Right_10pp,2,89
22,Right_10v,2,87
23,Right_47m,1,65
24,Left_EC,1,297
25,Left_LO1,1,199
26,Right_11l,1,90
27,Left_10r,1,244
28,Right_10d,1,71
29,Right_V4t,1,155
30,Right_5L,1,38
31,Left_10v,1,267
32,Left_10d,1,251
33,Left_TGd,1,310
34,Left_PeEc,1,301
35,Right_9a,1,86
36,Right_FOP1,0,112
37,Right_AAIC,0,111
38,Right_FOP2,0,114
39,Right_FOP3,0,113
40,Right_H,0,119
41,Right_PFt,0,115
42,Right_AIP,0,116
43,Right_EC,0,117
44,Right_AVI,0,110
45,Right_PreS,0,118
46,Right_Ig,0,167
47,Right_52,0,102
48,Right_Pir,0,109
49,Right_MI,0,108
50,Right_FOP4,0,107
51,Right_TA2,0,106
52,Right_PoI2,0,105
53,Right_PFcm,0,104
54,Right_RI,0,103
55,Right_FOP5,0,168
56,Right_OP2-3,0,101
57,Right_OP1,0,100
58,Right_OP4,0,99
59,Right_43,0,98
60,Right_s6-8,0,97
61,Right_i6-8,0,96
62,Right_6a,0,95
63,Right_ProS,0,120
64,Right_STSvp,0,129
65,Right_STGa,0,122
66,Right_PBelt,0,123
67,Right_IP0,0,145
68,Right_PFop,0,146
69,Right_PF,0,147
70,Right_PFm,0,148
71,Right_PGi,0,149
72,Right_PGs,0,150
73,Right_V6A,0,151
74,Right_VMV1,0,152
75,Right_VMV3,0,153
76,Right_PHA2,0,154
