,age,age,age,sex,sex,sex,fiq,fiq,fiq,DSMIV,DSMIV,DSMIV,ados_total,ados_total,ados_total,ados_social,ados_social,ados_social,ados_comm,ados_comm,ados_comm,ados_rrb,ados_rrb,ados_rrb
,r,p,df,r,p,df,r,p,df,r,p,df,r,p,df,r,p,df,r,p,df,r,p,df
0,-0.2192,0.0,659.0,0.0074,0.8491,659.0,-0.0353,0.3826,613.0,0.0872,0.0462,521.0,0.0263,0.5827,436.0,0.0429,0.3802,419.0,0.0053,0.9133,418.0,0.0901,0.0781,381.0
1,0.0364,0.3495,659.0,-0.0185,0.6345,659.0,0.0297,0.4615,613.0,-0.0973,0.0261,521.0,0.0995,0.0374,436.0,0.0775,0.1121,419.0,0.1076,0.0274,418.0,-0.0429,0.4025,381.0
2,-0.0114,0.7693,659.0,-0.0004,0.9919,659.0,-0.0403,0.3189,613.0,-0.0814,0.0628,521.0,0.0988,0.0387,436.0,0.067,0.1701,419.0,0.079,0.106,418.0,0.0414,0.419,381.0
3,0.0324,0.4054,659.0,-0.0069,0.8594,659.0,-0.0112,0.7815,613.0,0.0691,0.1145,521.0,-0.0691,0.1487,436.0,-0.0609,0.2125,419.0,-0.0993,0.042,418.0,-0.0065,0.8989,381.0
4,0.037,0.3421,659.0,-0.0287,0.4609,659.0,-0.0567,0.1605,613.0,-0.0774,0.0771,521.0,0.0005,0.9913,436.0,0.0111,0.8203,419.0,-0.0039,0.9373,418.0,-0.087,0.0889,381.0
5,-0.0321,0.4099,659.0,-0.0324,0.406,659.0,-0.016,0.6918,613.0,0.0248,0.5708,521.0,-0.005,0.9168,436.0,0.0022,0.9643,419.0,-0.0004,0.9938,418.0,-0.0357,0.4856,381.0
6,-0.1144,0.0032,659.0,0.0036,0.9259,659.0,0.0291,0.4712,613.0,0.0666,0.128,521.0,0.0067,0.8884,436.0,0.0314,0.5199,419.0,-0.0111,0.82,418.0,0.0415,0.4185,381.0
7,0.0627,0.1071,659.0,-0.0997,0.0103,659.0,-0.0235,0.5611,613.0,-0.0599,0.1711,521.0,-0.0272,0.5695,436.0,-0.0062,0.8986,419.0,-0.0418,0.3928,418.0,0.0095,0.8532,381.0
8,-0.1071,0.0058,659.0,0.0238,0.5414,659.0,-0.0147,0.7158,613.0,0.1118,0.0105,521.0,-0.0741,0.1214,436.0,-0.0399,0.4144,419.0,-0.0728,0.1361,418.0,0.0176,0.731,381.0
9,-0.0582,0.1348,659.0,0.0067,0.8637,659.0,-0.0363,0.3688,613.0,0.0154,0.726,521.0,0.0459,0.3377,436.0,0.0374,0.4442,419.0,0.0256,0.6008,418.0,0.0237,0.6443,381.0
