,age,age,age,sex,sex,sex,fiq,fiq,fiq,DSMIV,DSMIV,DSMIV,ados_total,ados_total,ados_total,ados_social,ados_social,ados_social,ados_comm,ados_comm,ados_comm,ados_rrb,ados_rrb,ados_rrb
,r,p,df,r,p,df,r,p,df,r,p,df,r,p,df,r,p,df,r,p,df,r,p,df
0,-0.0033,0.933,659.0,0.0044,0.9095,659.0,-0.0173,0.6679,613.0,0.0676,0.1226,521.0,0.0205,0.6687,436.0,0.0292,0.5503,419.0,0.0213,0.6633,418.0,0.0633,0.2161,381.0
1,-0.0064,0.8696,659.0,-0.018,0.6437,659.0,0.0272,0.5001,613.0,-0.0839,0.0551,521.0,0.0992,0.0379,436.0,0.0768,0.1157,419.0,0.1093,0.0251,418.0,-0.0446,0.3836,381.0
2,-0.0011,0.977,659.0,-0.0006,0.9886,659.0,-0.0406,0.3143,613.0,-0.0776,0.0761,521.0,0.0982,0.04,436.0,0.0655,0.1796,419.0,0.0812,0.0964,418.0,0.0409,0.4243,381.0
3,-0.001,0.9803,659.0,-0.0064,0.8686,659.0,-0.015,0.7105,613.0,0.0722,0.0992,521.0,-0.0674,0.1588,436.0,-0.0566,0.2467,419.0,-0.1049,0.0316,418.0,0.0008,0.9878,381.0
4,0.0011,0.9783,659.0,-0.0282,0.4688,659.0,-0.0592,0.1424,613.0,-0.0745,0.0886,521.0,0.0012,0.9805,436.0,0.0127,0.7946,419.0,-0.0056,0.9092,418.0,-0.0827,0.1061,381.0
5,-0.0,1.0,659.0,-0.0328,0.3992,659.0,-0.0137,0.7341,613.0,0.0195,0.6566,521.0,-0.0048,0.9207,436.0,0.0025,0.9597,419.0,-0.0007,0.9893,418.0,-0.035,0.4952,381.0
6,-0.0042,0.9145,659.0,0.002,0.9586,659.0,0.0404,0.3177,613.0,0.0604,0.1678,521.0,0.0006,0.9894,436.0,0.0176,0.7187,419.0,0.0045,0.9274,418.0,0.0197,0.701,381.0
7,-0.0039,0.9195,659.0,-0.0991,0.0108,659.0,-0.0319,0.4291,613.0,-0.0576,0.1887,521.0,-0.0228,0.6344,436.0,0.0045,0.9263,419.0,-0.0542,0.2678,418.0,0.0293,0.5677,381.0
8,0.0005,0.9901,659.0,0.0224,0.5651,659.0,-0.0058,0.8865,613.0,0.1004,0.0216,521.0,-0.079,0.0986,436.0,-0.0504,0.3019,419.0,-0.0626,0.2006,418.0,0.0014,0.9781,381.0
9,-0.0012,0.9754,659.0,0.0059,0.8801,659.0,-0.0303,0.4535,613.0,0.0136,0.7562,521.0,0.0426,0.3739,436.0,0.0297,0.5434,419.0,0.0346,0.4796,418.0,0.0098,0.8478,381.0
