,age,age,age,sex,sex,sex,fiq,fiq,fiq,DSMIV,DSMIV,DSMIV,ados_total,ados_total,ados_total,ados_social,ados_social,ados_social,ados_comm,ados_comm,ados_comm,ados_rrb,ados_rrb,ados_rrb
,r,p,df,r,p,df,r,p,df,r,p,df,r,p,df,r,p,df,r,p,df,r,p,df
0,-0.2062,0.0,659.0,-0.0007,0.9852,659.0,-0.0134,0.7399,613.0,0.1097,0.0121,521.0,0.02,0.6766,436.0,0.0391,0.4233,419.0,0.007,0.8861,418.0,0.0911,0.075,381.0
1,0.0074,0.8484,659.0,-0.0098,0.8016,659.0,-0.0006,0.9882,613.0,-0.1281,0.0033,521.0,0.1167,0.0146,436.0,0.0913,0.0614,419.0,0.1144,0.019,418.0,-0.0428,0.4038,381.0
2,0.0268,0.491,659.0,-0.0132,0.7351,659.0,-0.0068,0.8657,613.0,-0.0669,0.1268,521.0,0.0991,0.0381,436.0,0.066,0.1765,419.0,0.0912,0.0619,418.0,0.042,0.4124,381.0
3,0.0213,0.5853,659.0,-0.0033,0.9333,659.0,-0.024,0.5526,613.0,0.0618,0.1581,521.0,-0.0657,0.1701,436.0,-0.0583,0.2324,419.0,-0.1025,0.0357,418.0,-0.0045,0.9294,381.0
4,0.056,0.1503,659.0,-0.0352,0.3656,659.0,-0.0425,0.2932,613.0,-0.0687,0.1164,521.0,-0.0051,0.9157,436.0,0.0067,0.8911,419.0,-0.0029,0.9536,418.0,-0.0919,0.0723,381.0
5,-0.0526,0.1771,659.0,-0.0272,0.4848,659.0,-0.0337,0.4035,613.0,0.0131,0.7654,521.0,-0.0004,0.9929,436.0,0.0061,0.9002,419.0,-0.0013,0.9793,418.0,-0.0346,0.4992,381.0
6,-0.1138,0.0034,659.0,0.0033,0.932,659.0,0.0301,0.4566,613.0,0.0689,0.1155,521.0,0.0072,0.8812,436.0,0.0313,0.5222,419.0,-0.0111,0.8206,418.0,0.0411,0.4222,381.0
7,0.0641,0.0998,659.0,-0.1001,0.01,659.0,-0.0233,0.5633,613.0,-0.0596,0.1735,521.0,-0.0273,0.5691,436.0,-0.0065,0.894,419.0,-0.0417,0.3935,418.0,0.0094,0.8539,381.0
8,-0.105,0.0069,659.0,0.023,0.5546,659.0,-0.0094,0.8157,613.0,0.1141,0.009,521.0,-0.0766,0.1093,436.0,-0.0418,0.3918,419.0,-0.0728,0.1365,418.0,0.0164,0.7483,381.0
9,-0.0496,0.2025,659.0,0.0038,0.9224,659.0,-0.0275,0.4964,613.0,0.0219,0.6178,521.0,0.0436,0.3622,436.0,0.0358,0.4644,419.0,0.0261,0.5931,418.0,0.0228,0.6565,381.0
