,sub,scan_length
0,sub-0050002,4.525
1,sub-0050003,1.7
2,sub-0050004,4.1
3,sub-0050005,4.075
4,sub-0050006,4.55
5,sub-0050007,3.7
6,sub-0050008,3.4
7,sub-0050009,3.8
8,sub-0050010,3.375
9,sub-0050011,4.8
10,sub-0050012,4.15
11,sub-0050013,3.4
12,sub-0050014,4.975
13,sub-0050015,4.2
14,sub-0050016,4.4
15,sub-0050017,2.4
16,sub-0050019,1.925
17,sub-0050020,4.3
18,sub-0050022,4.525
19,sub-0050023,3.775
20,sub-0050024,5.0
21,sub-0050025,4.65
22,sub-0050026,0.925
23,sub-0050027,4.075
24,sub-0050028,1.85
25,sub-0050029,4.65
26,sub-0050030,4.925
27,sub-0050031,3.9
28,sub-0050032,4.85
29,sub-0050033,4.275
30,sub-0050034,4.0
31,sub-0050035,4.075
32,sub-0050036,4.9
33,sub-0050037,5.0
34,sub-0050038,3.35
35,sub-0050040,4.6
36,sub-0050041,4.8
37,sub-0050042,3.05
38,sub-0050043,1.925
39,sub-0050044,4.875
40,sub-0050045,4.025
41,sub-0050046,3.225
42,sub-0050047,4.275
43,sub-0050048,3.25
44,sub-0050049,1.775
45,sub-0050050,4.25
46,sub-0050051,4.25
47,sub-0050052,4.3
48,sub-0050053,2.625
49,sub-0050054,2.6
50,sub-0050055,3.275
51,sub-0050056,3.2
52,sub-0050057,4.825
53,sub-0050058,4.775
54,sub-0050059,4.75
55,sub-0050060,4.875
56,sub-0050102,2.725
57,sub-0050103,3.175
58,sub-0050104,5.2
59,sub-0050105,3.65
60,sub-0050106,1.5
61,sub-0050107,5.075
62,sub-0050108,4.475
63,sub-0050109,2.75
64,sub-0050110,1.975
65,sub-0050111,3.775
66,sub-0050112,4.075
67,sub-0050113,4.3
68,sub-0050114,4.75
69,sub-0050115,3.625
70,sub-0050116,5.05
71,sub-0050117,4.425
72,sub-0050118,4.9
73,sub-0050119,3.3
74,sub-0050120,1.625
75,sub-0050121,3.7
76,sub-0050122,3.0
77,sub-0050123,0.75
78,sub-0050124,2.725
79,sub-0050125,4.325
80,sub-0050126,1.675
81,sub-0050127,4.35
82,sub-0050128,3.4
83,sub-0050129,3.3
84,sub-0050130,5.225
85,sub-0050131,4.925
86,sub-0050132,4.725
87,sub-0050133,4.95
88,sub-0050134,3.75
89,sub-0050135,0.975
90,sub-0050136,3.7
91,sub-0050137,3.025
92,sub-0050142,3.4166666666666665
93,sub-0050143,3.375
94,sub-0050144,3.2916666666666665
95,sub-0050145,3.0833333333333335
96,sub-0050146,3.4166666666666665
97,sub-0050147,3.3333333333333335
98,sub-0050148,3.2916666666666665
99,sub-0050149,3.25
100,sub-0050150,3.3333333333333335
101,sub-0050152,3.3333333333333335
102,sub-0050153,3.0416666666666665
103,sub-0050155,2.9166666666666665
104,sub-0050156,3.4166666666666665
105,sub-0050157,2.7916666666666665
106,sub-0050158,3.4166666666666665
107,sub-0050159,2.9583333333333335
108,sub-0050160,3.1666666666666665
109,sub-0050161,2.25
110,sub-0050162,2.0833333333333335
111,sub-0050163,2.75
112,sub-0050164,2.375
113,sub-0050165,3.3333333333333335
114,sub-0050166,3.4166666666666665
115,sub-0050167,3.4166666666666665
116,sub-0050168,3.375
117,sub-0050169,2.7083333333333335
118,sub-0050170,2.4166666666666665
119,sub-0050171,3.375
120,sub-0050182,5.266666666666667
121,sub-0050183,5.966666666666667
122,sub-0050184,6.0
123,sub-0050185,3.3
124,sub-0050186,4.733333333333333
125,sub-0050187,6.0
126,sub-0050188,5.433333333333334
127,sub-0050189,5.933333333333334
128,sub-0050190,5.966666666666667
129,sub-0050191,5.566666666666666
130,sub-0050192,1.0666666666666667
131,sub-0050193,6.0
132,sub-0050194,5.5
133,sub-0050195,5.733333333333333
134,sub-0050196,5.9
135,sub-0050197,5.733333333333333
136,sub-0050198,4.166666666666667
137,sub-0050199,6.0
138,sub-0050200,5.533333333333333
139,sub-0050201,5.733333333333333
140,sub-0050202,4.133333333333334
141,sub-0050203,6.0
142,sub-0050204,5.7
143,sub-0050205,5.933333333333334
144,sub-0050206,4.966666666666667
145,sub-0050207,4.3
146,sub-0050208,4.433333333333334
147,sub-0050209,5.933333333333334
148,sub-0050210,6.0
149,sub-0050211,5.633333333333334
150,sub-0050212,5.9
151,sub-0050213,5.266666666666667
152,sub-0050214,5.9
153,sub-0050215,5.8
154,sub-0050216,6.0
155,sub-0050217,6.0
156,sub-0050232,3.7333333333333334
157,sub-0050233,5.0
158,sub-0050234,4.666666666666667
159,sub-0050235,4.4
160,sub-0050236,4.333333333333333
161,sub-0050237,4.6
162,sub-0050238,4.233333333333333
163,sub-0050239,4.2
164,sub-0050240,4.9
165,sub-0050241,4.866666666666666
166,sub-0050242,1.5333333333333334
167,sub-0050243,4.466666666666667
168,sub-0050244,2.3666666666666667
169,sub-0050245,3.3666666666666667
170,sub-0050246,4.466666666666667
171,sub-0050247,2.566666666666667
172,sub-0050248,4.9
173,sub-0050249,4.666666666666667
174,sub-0050250,4.266666666666667
175,sub-0050251,3.6333333333333333
176,sub-0050252,3.6666666666666665
177,sub-0050253,4.833333333333333
178,sub-0050254,4.866666666666666
179,sub-0050255,4.933333333333334
180,sub-0050257,4.6
181,sub-0050259,4.7
182,sub-0050260,5.0
183,sub-0050261,5.0
184,sub-0050262,3.8333333333333335
185,sub-0050263,5.0
186,sub-0050264,4.9
187,sub-0050265,2.7
188,sub-0050266,4.333333333333333
189,sub-0050267,5.0
190,sub-0050268,4.8
191,sub-0050269,4.366666666666666
192,sub-0050270,4.5
193,sub-0050271,4.866666666666666
194,sub-0050272,8.8
195,sub-0050273,9.933333333333334
196,sub-0050274,8.2
197,sub-0050275,8.666666666666666
198,sub-0050276,9.966666666666667
199,sub-0050277,6.766666666666667
200,sub-0050278,7.166666666666667
201,sub-0050279,2.466666666666667
202,sub-0050280,9.533333333333333
203,sub-0050281,5.933333333333334
204,sub-0050282,9.533333333333333
205,sub-0050283,7.066666666666666
206,sub-0050284,8.133333333333333
207,sub-0050285,9.233333333333333
208,sub-0050286,2.466666666666667
209,sub-0050287,9.766666666666667
210,sub-0050288,5.9
211,sub-0050289,6.9
