,0
Unnamed: 0,0
SITE_ID,0
SUB_ID,0
DX_GROUP,0
DSM_IV_TR,0
AGE_AT_SCAN,0
SEX,0
HANDEDNESS_CATEGORY,315
HANDEDNESS_SCORES,742
FIQ,35
VIQ,177
PIQ,159
FIQ_TEST_TYPE,165
VIQ_TEST_TYPE,278
PIQ_TEST_TYPE,259
ADI_R_SOCIAL_TOTAL_A,700
ADI_R_VERBAL_TOTAL_BV,700
ADI_RRB_TOTAL_C,700
ADI_R_ONSET_TOTAL_D,781
ADI_R_RSRCH_RELIABLE,701
ADOS_MODULE,577
ADOS_TOTAL,670
ADOS_COMM,695
ADOS_SOCIAL,695
ADOS_STEREO_BEHAV,734
ADOS_RSRCH_RELIABLE,732
ADOS_GOTHAM_SOCAFFECT,795
ADOS_GOTHAM_RRB,795
ADOS_GOTHAM_TOTAL,795
ADOS_GOTHAM_SEVERITY,795
SRS_VERSION,843
SRS_RAW_TOTAL,707
SRS_AWARENESS,1048
SRS_COGNITION,1048
SRS_COMMUNICATION,1048
SRS_MOTIVATION,1048
SRS_MANNERISMS,1048
SCQ_TOTAL,969
AQ_TOTAL,1054
COMORBIDITY,1040
CURRENT_MED_STATUS,295
MEDICATION_NAME,955
OFF_STIMULANTS_AT_SCAN,971
VINELAND_RECEPTIVE_V_SCALED,928
VINELAND_EXPRESSIVE_V_SCALED,928
VINELAND_WRITTEN_V_SCALED,928
VINELAND_COMMUNICATION_STANDARD,928
VINELAND_PERSONAL_V_SCALED,928
VINELAND_DOMESTIC_V_SCALED,928
VINELAND_COMMUNITY_V_SCALED,928
VINELAND_DAILYLVNG_STANDARD,928
VINELAND_INTERPERSONAL_V_SCALED,928
VINELAND_PLAY_V_SCALED,928
VINELAND_COPING_V_SCALED,928
VINELAND_SOCIAL_STANDARD,928
VINELAND_SUM_SCORES,928
VINELAND_ABC_STANDARD,928
VINELAND_INFORMANT,928
WISC_IV_VCI,1057
WISC_IV_PRI,1057
WISC_IV_WMI,1057
WISC_IV_PSI,1057
WISC_IV_SIM_SCALED,1057
WISC_IV_VOCAB_SCALED,1057
WISC_IV_INFO_SCALED,1057
WISC_IV_BLK_DSN_SCALED,1057
WISC_IV_PIC_CON_SCALED,1057
WISC_IV_MATRIX_SCALED,1057
WISC_IV_DIGIT_SPAN_SCALED,1057
WISC_IV_LET_NUM_SCALED,1057
WISC_IV_CODING_SCALED,1057
WISC_IV_SYM_SCALED,1057
EYE_STATUS_AT_SCAN,0
AGE_AT_MPRAGE,1011
BMI,898
