,subID,subNum,duration,rel_nan,rank,cmat_nan,dataset,scaned_twice
0,sub-0050002,50002,4.525,False,312.0,False,ABIDE I,True
1,sub-0050003,50003,1.65,False,168.0,False,ABIDE I,False
2,sub-0050004,50004,4.075,False,1636.0,False,ABIDE I,False
3,sub-0050005,50005,4.125,False,1.0,False,ABIDE I,True
4,sub-0050006,50006,4.375,False,7.0,False,ABIDE I,True
5,sub-0050007,50007,3.575,False,424.0,False,ABIDE I,True
6,sub-0050008,50008,3.475,False,403.0,False,ABIDE I,False
7,sub-0050009,50009,3.85,False,5.0,False,ABIDE I,False
8,sub-0050010,50010,4.6,False,523.0,False,ABIDE I,False
9,sub-0050011,50011,4.775,False,3.0,False,ABIDE I,False
10,sub-0050012,50012,4.05,False,710.0,False,ABIDE I,False
11,sub-0050013,50013,3.45,False,231.0,False,ABIDE I,True
12,sub-0050014,50014,4.95,False,2.0,False,ABIDE I,False
13,sub-0050015,50015,4.675,False,8.0,False,ABIDE I,False
14,sub-0050016,50016,4.45,False,1.0,False,ABIDE I,False
15,sub-0050017,50017,2.4,False,1.0,False,ABIDE I,False
16,sub-0050019,50019,1.875,False,180.0,False,ABIDE I,False
17,sub-0050020,50020,4.3,False,2.0,False,ABIDE I,False
18,sub-0050022,50022,4.55,False,3.0,False,ABIDE I,False
19,sub-0050023,50023,3.75,False,137.0,False,ABIDE I,False
20,sub-0050024,50024,4.95,False,90.0,False,ABIDE I,False
21,sub-0050025,50025,4.7,False,100.0,False,ABIDE I,False
22,sub-0050026,50026,0.975,False,916.0,False,ABIDE I,True
23,sub-0050027,50027,4.05,False,3.0,False,ABIDE I,True
24,sub-0050028,50028,1.925,False,234.0,False,ABIDE I,True
25,sub-0050029,50029,4.675,False,3.0,False,ABIDE I,True
26,sub-0050030,50030,4.45,False,90.0,False,ABIDE I,False
27,sub-0050031,50031,3.975,False,1.0,False,ABIDE I,True
28,sub-0050032,50032,4.875,False,27.0,False,ABIDE I,False
29,sub-0050033,50033,4.25,False,5.0,False,ABIDE I,False
30,sub-0050034,50034,3.9,False,1242.0,False,ABIDE I,False
31,sub-0050035,50035,4.1,False,1.0,False,ABIDE I,True
32,sub-0050036,50036,4.95,False,1837.0,False,ABIDE I,False
33,sub-0050037,50037,4.925,False,8.0,False,ABIDE I,False
34,sub-0050038,50038,3.175,False,1822.0,False,ABIDE I,True
35,sub-0050040,50040,4.6,False,6.0,False,ABIDE I,False
36,sub-0050041,50041,4.725,False,19.0,False,ABIDE I,False
37,sub-0050042,50042,3.0,False,225.0,False,ABIDE I,False
38,sub-0050043,50043,2.05,False,357.0,False,ABIDE I,False
39,sub-0050044,50044,4.875,False,134.0,False,ABIDE I,False
40,sub-0050045,50045,3.95,False,10.0,False,ABIDE I,False
41,sub-0050046,50046,3.2,False,2022.0,False,ABIDE I,False
42,sub-0050047,50047,4.225,False,138.0,False,ABIDE I,True
43,sub-0050048,50048,3.25,False,5.0,False,ABIDE I,True
44,sub-0050049,50049,1.825,False,859.0,False,ABIDE I,True
45,sub-0050050,50050,4.275,False,367.0,False,ABIDE I,True
46,sub-0050051,50051,4.25,False,534.0,False,ABIDE I,True
47,sub-0050052,50052,4.375,False,58.0,False,ABIDE I,False
48,sub-0050053,50053,2.6,False,269.0,False,ABIDE I,False
49,sub-0050054,50054,2.475,False,271.0,False,ABIDE I,False
50,sub-0050055,50055,2.475,False,433.0,False,ABIDE I,False
51,sub-0050056,50056,3.225,False,17.0,False,ABIDE I,False
52,sub-0050057,50057,4.9,False,139.0,False,ABIDE I,False
53,sub-0050058,50058,4.825,False,103.0,False,ABIDE I,False
54,sub-0050059,50059,4.775,False,145.0,False,ABIDE I,False
55,sub-0050060,50060,4.875,False,200.0,False,ABIDE I,False
56,sub-0050102,50102,3.075,False,35.0,False,ABIDE I,False
57,sub-0050103,50103,3.225,False,751.0,False,ABIDE I,False
58,sub-0050104,50104,5.125,False,1.0,False,ABIDE I,False
59,sub-0050105,50105,3.325,False,971.0,False,ABIDE I,False
60,sub-0050106,50106,1.4,False,29.0,False,ABIDE I,False
61,sub-0050107,50107,5.075,False,2.0,False,ABIDE I,False
62,sub-0050108,50108,4.55,False,3.0,False,ABIDE I,False
63,sub-0050109,50109,2.55,False,33.0,False,ABIDE I,False
64,sub-0050110,50110,1.925,False,1561.0,False,ABIDE I,False
65,sub-0050111,50111,3.65,False,20.0,False,ABIDE I,False
66,sub-0050112,50112,4.075,False,1.0,False,ABIDE I,False
67,sub-0050113,50113,4.325,False,333.0,False,ABIDE I,False
68,sub-0050114,50114,4.575,False,1562.0,False,ABIDE I,False
69,sub-0050115,50115,3.6,False,181.0,False,ABIDE I,False
70,sub-0050116,50116,5.05,False,196.0,False,ABIDE I,False
71,sub-0050117,50117,4.375,False,54.0,False,ABIDE I,False
72,sub-0050118,50118,4.875,False,2.0,False,ABIDE I,False
73,sub-0050119,50119,3.425,False,569.0,False,ABIDE I,False
74,sub-0050120,50120,1.575,False,833.0,False,ABIDE I,False
75,sub-0050121,50121,3.675,False,839.0,False,ABIDE I,False
76,sub-0050122,50122,3.25,False,4.0,False,ABIDE I,False
77,sub-0050123,50123,0.825,False,1.0,False,ABIDE I,False
78,sub-0050124,50124,2.725,False,548.0,False,ABIDE I,False
79,sub-0050125,50125,4.4,False,190.0,False,ABIDE I,False
80,sub-0050126,50126,1.5,False,75.0,False,ABIDE I,False
81,sub-0050127,50127,4.2,False,8.0,False,ABIDE I,False
82,sub-0050128,50128,2.975,False,483.0,False,ABIDE I,False
83,sub-0050129,50129,3.525,False,125.0,False,ABIDE I,False
84,sub-0050130,50130,5.225,False,1.0,False,ABIDE I,False
85,sub-0050131,50131,4.975,False,377.0,False,ABIDE I,False
86,sub-0050132,50132,4.775,False,37.0,False,ABIDE I,False
87,sub-0050134,50134,3.65,False,561.0,False,ABIDE I,False
